,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
71,F,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145,13
72,F,0.61,0.485,0.15,1.2405,0.6025,0.2915,0.3085,12
73,F,0.505,0.4,0.125,0.583,0.24600000000000002,0.13,0.175,7
74,I,0.57,0.42,0.13,0.7745,0.3535,0.1505,0.2365,9
75,I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,5
76,I,0.435,0.345,0.115,0.418,0.222,0.0735,0.106,7
77,I,0.525,0.415,0.12,0.596,0.2805,0.12,0.1695,9
78,M,0.66,0.53,0.175,1.5830000000000002,0.7395,0.3505,0.405,10
79,F,0.6,0.455,0.145,0.8895,0.419,0.1715,0.26899999999999996,10
80,M,0.635,0.5,0.17,1.4345,0.611,0.309,0.418,12
81,I,0.62,0.49,0.16,1.0659999999999998,0.446,0.24600000000000002,0.305,11
82,M,0.48,0.375,0.145,0.777,0.21600000000000003,0.13,0.17,9
83,I,0.54,0.42,0.14,0.74,0.3595,0.159,0.1985,8
84,M,0.575,0.455,0.165,0.867,0.3765,0.1805,0.268,8
85,F,0.645,0.55,0.175,1.2915,0.57,0.3045,0.33,14
86,M,0.46,0.38,0.135,0.48200000000000004,0.207,0.1225,0.145,10
87,I,0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
88,I,0.345,0.275,0.095,0.1995,0.0755,0.0535,0.07,6
89,M,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36,13
90,I,0.445,0.34,0.145,0.434,0.1945,0.0905,0.13,7
91,F,0.555,0.405,0.12,0.9129999999999999,0.4585,0.196,0.2065,9
92,M,0.615,0.47,0.16,1.0175,0.473,0.2395,0.28,10
93,M,0.65,0.525,0.205,1.4275,0.69,0.306,0.4355,13
94,F,0.55,0.47,0.15,0.897,0.377,0.184,0.29,9
95,M,0.63,0.515,0.155,1.2590000000000001,0.4105,0.19699999999999998,0.41,13
96,F,0.525,0.41,0.135,0.7085,0.293,0.1525,0.235,11
97,M,0.6,0.465,0.165,1.038,0.4975,0.2205,0.251,9
98,F,0.645,0.49,0.16,1.1440000000000001,0.5015,0.289,0.319,8
99,M,0.545,0.41,0.14,0.625,0.223,0.16,0.235,13
100,F,0.55,0.45,0.145,0.741,0.295,0.1435,0.2665,10
101,M,0.325,0.24,0.075,0.155,0.0475,0.0355,0.06,9
102,I,0.475,0.38,0.12,0.441,0.1785,0.0885,0.1505,8
103,M,0.555,0.4,0.13,0.7075,0.332,0.1585,0.18,7
104,M,0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
105,F,0.49,0.38,0.13,0.539,0.22899999999999998,0.1355,0.165,12
106,I,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
107,M,0.53,0.425,0.11,0.7390000000000001,0.237,0.161,0.295,13
108,I,0.665,0.5,0.17,1.2975,0.6035,0.29100000000000004,0.3595,9
109,M,0.58,0.43,0.13,0.7979999999999999,0.365,0.17300000000000001,0.2285,10
110,I,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,6
111,I,0.28,0.215,0.07,0.124,0.063,0.0215,0.03,6
112,M,0.665,0.525,0.175,1.443,0.6635,0.3845,0.353,11
113,M,0.605,0.475,0.15,1.15,0.575,0.23199999999999998,0.297,10
114,F,0.41,0.325,0.105,0.3635,0.159,0.077,0.12,10
115,F,0.475,0.365,0.13,0.4805,0.1905,0.114,0.1475,12
116,F,0.625,0.5,0.175,1.273,0.564,0.302,0.374,9
117,F,0.62,0.51,0.175,1.1255,0.4985,0.22699999999999998,0.315,14
118,F,0.53,0.425,0.13,0.7585,0.325,0.19699999999999998,0.205,8
119,M,0.6,0.47,0.15,0.9279999999999999,0.4225,0.183,0.275,8
120,I,0.46,0.355,0.14,0.4935,0.21600000000000003,0.133,0.115,13
121,M,0.55,0.45,0.155,0.7895,0.34299999999999997,0.159,0.25,12
122,F,0.64,0.54,0.175,1.571,0.627,0.271,0.475,18
123,F,0.65,0.505,0.165,1.16,0.4785,0.27399999999999997,0.349,11
124,F,0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9
125,F,0.665,0.505,0.16,1.2915,0.631,0.2925,0.32,11
126,F,0.68,0.505,0.17,1.3435,0.657,0.297,0.355,12
127,I,0.485,0.38,0.125,0.5215,0.2215,0.11800000000000001,0.16,8
128,M,0.475,0.375,0.125,0.593,0.27699999999999997,0.115,0.18,10
129,F,0.58,0.46,0.18,1.0515,0.4095,0.2595,0.276,8
130,I,0.36,0.28,0.105,0.19899999999999998,0.0695,0.045,0.08,9
131,F,0.49,0.375,0.135,0.6125,0.2555,0.102,0.22,11
132,M,0.63,0.485,0.16,1.2429999999999999,0.623,0.275,0.3,10
133,M,0.67,0.51,0.18,1.68,0.9259999999999999,0.2975,0.3935,13
134,M,0.56,0.45,0.175,1.011,0.3835,0.2065,0.37,15
135,F,0.64,0.495,0.17,1.2265,0.49,0.377,0.2875,11
136,I,0.51,0.455,0.135,0.6855,0.2875,0.154,0.2035,9
137,M,0.695,0.525,0.175,1.742,0.696,0.389,0.505,12
138,F,0.705,0.55,0.17,1.219,0.6395,0.23600000000000002,0.301,9
139,F,0.505,0.38,0.135,0.6855,0.361,0.1565,0.161,9
140,M,0.525,0.405,0.135,0.7575,0.3305,0.21600000000000003,0.195,10
141,M,0.63,0.505,0.165,1.26,0.4525,0.2755,0.406,14
142,I,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,7
143,I,0.43,0.315,0.095,0.37799999999999995,0.175,0.08,0.1045,8
144,F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,20
145,F,0.645,0.51,0.155,1.129,0.5015,0.24,0.342,10
146,F,0.42,0.33,0.125,0.46299999999999997,0.18600000000000003,0.11,0.145,10
147,F,0.64,0.5,0.17,1.12,0.4955,0.2645,0.32,12
148,I,0.47,0.35,0.135,0.5670000000000001,0.2315,0.1465,0.1525,11
149,M,0.575,0.45,0.165,0.9655,0.498,0.19,0.23,8
150,M,0.695,0.57,0.23,1.885,0.8665,0.435,0.5,19
151,F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8
152,I,0.63,0.475,0.145,1.0605,0.5165,0.2195,0.28,10
153,M,0.495,0.395,0.135,0.6335,0.3035,0.1295,0.1495,8
154,I,0.275,0.205,0.065,0.10099999999999999,0.040999999999999995,0.021,0.034,5
155,M,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12,10
156,M,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
157,M,0.515,0.385,0.13,0.623,0.2855,0.1285,0.175,10
158,M,0.53,0.425,0.155,0.7905,0.307,0.171,0.2595,9
159,M,0.6,0.47,0.16,1.194,0.5625,0.3045,0.2635,10
160,I,0.19,0.13,0.03,0.0295,0.0155,0.015,0.01,6
161,M,0.6,0.46,0.15,1.247,0.5335,0.2735,0.29,9
162,F,0.645,0.525,0.17,1.37,0.6135,0.28300000000000003,0.34,10
163,I,0.44,0.365,0.115,0.501,0.2435,0.084,0.1465,9
164,F,0.655,0.545,0.165,1.6225,0.6555,0.299,0.513,12
165,I,0.525,0.395,0.12,0.608,0.297,0.1395,0.1405,8
166,F,0.59,0.455,0.165,1.161,0.38,0.2455,0.28,12
167,F,0.61,0.495,0.165,1.0835,0.4525,0.273,0.317,9
168,M,0.665,0.52,0.175,1.3725,0.606,0.32,0.395,12
169,M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235,13
170,F,0.585,0.45,0.125,0.8740000000000001,0.3545,0.2075,0.225,6
171,I,0.38,0.285,0.085,0.237,0.115,0.0405,0.07,6
172,M,0.675,0.525,0.16,1.2835,0.5720000000000001,0.2755,0.3545,13
173,F,0.575,0.46,0.15,0.927,0.33299999999999996,0.207,0.2985,9
174,M,0.65,0.525,0.185,1.4880000000000002,0.665,0.337,0.37799999999999995,11
175,F,0.485,0.38,0.15,0.605,0.2155,0.14,0.18,15
176,F,0.72,0.56,0.175,1.7265,0.637,0.3415,0.525,17
177,M,0.555,0.44,0.14,0.8705,0.40700000000000003,0.156,0.255,9
178,F,0.63,0.505,0.195,1.306,0.516,0.3305,0.375,9
179,F,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
180,M,0.525,0.405,0.12,0.7555,0.3755,0.1555,0.201,9
181,M,0.655,0.55,0.18,1.274,0.586,0.281,0.365,10
182,I,0.315,0.23,0.07,0.14400000000000002,0.053,0.0305,0.04,8
183,M,0.585,0.455,0.145,0.953,0.3945,0.2685,0.258,10
184,M,0.555,0.405,0.19,1.406,0.6115,0.342,0.389,10
185,M,0.535,0.405,0.175,1.2705,0.5479999999999999,0.3265,0.337,13
186,I,0.29,0.21,0.06,0.1045,0.0415,0.022000000000000002,0.035,5
187,I,0.555,0.45,0.175,0.738,0.304,0.1755,0.22,9
188,I,0.46,0.35,0.11,0.3945,0.1685,0.0865,0.125,9
189,M,0.575,0.47,0.165,0.853,0.292,0.179,0.35,16
190,M,0.58,0.445,0.135,0.8140000000000001,0.3775,0.1915,0.22,9
191,F,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,15
192,M,0.64,0.495,0.165,1.307,0.6779999999999999,0.292,0.266,11
193,I,0.505,0.385,0.12,0.6005,0.239,0.142,0.185,7
194,M,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,7
195,I,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
196,F,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
197,I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11,6
198,M,0.57,0.44,0.155,1.1159999999999999,0.4775,0.2315,0.27,13
199,M,0.68,0.54,0.21,1.7885,0.8345,0.408,0.43700000000000006,13
200,M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7
201,M,0.525,0.415,0.145,0.845,0.3525,0.1635,0.2875,8
202,M,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,14
203,I,0.55,0.42,0.13,0.636,0.294,0.14400000000000002,0.1755,8
204,I,0.5,0.39,0.12,0.5955,0.2455,0.147,0.17300000000000001,8
205,M,0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
206,F,0.615,0.475,0.155,1.115,0.484,0.2115,0.355,10
207,I,0.505,0.38,0.12,0.594,0.2595,0.1435,0.18,7
208,F,0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
209,I,0.375,0.28,0.08,0.226,0.105,0.047,0.065,6
210,F,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,15
211,I,0.415,0.325,0.1,0.385,0.16699999999999998,0.08,0.125,7
212,I,0.495,0.375,0.12,0.614,0.2855,0.1365,0.161,8
213,M,0.56,0.455,0.155,0.797,0.34,0.19,0.2425,11
214,M,0.38,0.27,0.095,0.21899999999999997,0.0835,0.0515,0.07,6
215,F,0.705,0.56,0.17,1.4575,0.607,0.318,0.44,11
216,I,0.515,0.42,0.135,0.711,0.337,0.14400000000000002,0.205,13
217,I,0.38,0.3,0.1,0.28600000000000003,0.1305,0.055999999999999994,0.09,7
218,I,0.315,0.24,0.07,0.13699999999999998,0.0545,0.0315,0.04,8
219,I,0.385,0.28,0.095,0.257,0.11900000000000001,0.059000000000000004,0.07,7
220,F,0.575,0.46,0.165,1.124,0.2985,0.1785,0.44,13
221,F,0.72,0.59,0.205,1.7495,0.7755,0.4225,0.48,11
222,M,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
223,F,0.645,0.5,0.2,1.4285,0.639,0.305,0.36,11
224,F,0.61,0.48,0.175,1.0675,0.391,0.21600000000000003,0.42,15
225,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17,8
226,I,0.615,0.475,0.13,0.8425,0.353,0.1915,0.251,8
227,M,0.775,0.57,0.22,2.032,0.735,0.4755,0.6585,17
228,F,0.625,0.49,0.11,1.136,0.5265,0.1915,0.2925,9
229,M,0.485,0.37,0.14,0.5725,0.204,0.1415,0.175,10
230,I,0.575,0.435,0.13,0.805,0.3155,0.2155,0.245,10
231,M,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14
232,M,0.7,0.545,0.215,1.9125,0.8825,0.4385,0.506,10
233,F,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,11
234,I,0.435,0.34,0.11,0.3795,0.1495,0.085,0.12,8
235,F,0.66,0.52,0.2,1.676,0.6729999999999999,0.4805,0.45,17
236,F,0.63,0.5,0.185,1.383,0.54,0.3315,0.38,10
237,I,0.34,0.255,0.075,0.18,0.0745,0.04,0.0525,6
238,F,0.63,0.5,0.175,1.1105,0.467,0.268,0.32899999999999996,10
239,I,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
240,I,0.445,0.36,0.11,0.4235,0.182,0.0765,0.14,9
241,M,0.6,0.48,0.09,1.05,0.457,0.2685,0.28,8
242,F,0.68,0.55,0.21,1.7445,0.5975,0.305,0.625,17
243,M,0.675,0.505,0.16,1.5319999999999998,0.74,0.35700000000000004,0.3815,11
244,I,0.585,0.46,0.145,0.8465,0.33899999999999997,0.16699999999999998,0.295,10
245,I,0.48,0.365,0.1,0.461,0.2205,0.0835,0.135,8
246,M,0.575,0.45,0.155,0.8859999999999999,0.3605,0.21100000000000002,0.2575,9
247,I,0.465,0.36,0.105,0.452,0.22,0.159,0.1035,9
248,F,0.47,0.35,0.145,0.5175,0.187,0.1235,0.18,11
249,F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315,14
250,F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9
251,M,0.47,0.365,0.135,0.522,0.2395,0.1525,0.145,10
252,M,0.595,0.47,0.175,0.991,0.382,0.2395,0.5,12
253,M,0.59,0.47,0.18,1.187,0.5985,0.22699999999999998,0.31,9
254,F,0.485,0.365,0.15,0.9145,0.4145,0.19899999999999998,0.273,7
255,I,0.515,0.42,0.15,0.6725,0.2555,0.1335,0.235,10
256,F,0.435,0.325,0.115,0.3915,0.154,0.094,0.12,7
257,M,0.605,0.455,0.16,1.1035,0.42100000000000004,0.3015,0.325,9
258,M,0.615,0.505,0.165,1.167,0.4895,0.2955,0.345,10
259,I,0.375,0.305,0.115,0.2715,0.092,0.07400000000000001,0.09,8
260,F,0.53,0.42,0.13,1.001,0.34,0.226,0.265,17
261,M,0.44,0.325,0.115,0.39,0.163,0.087,0.113,7
262,F,0.63,0.495,0.165,1.3075,0.599,0.284,0.315,11
263,M,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9
264,I,0.37,0.275,0.1,0.2295,0.0885,0.0465,0.07,7
265,I,0.405,0.31,0.11,0.91,0.41600000000000004,0.2075,0.0995,8
266,I,0.355,0.27,0.1,0.21600000000000003,0.083,0.037000000000000005,0.075,10
267,I,0.55,0.445,0.145,0.7829999999999999,0.3045,0.157,0.265,11
268,F,0.5,0.405,0.15,0.5965,0.253,0.126,0.185,12
269,M,0.585,0.475,0.15,1.065,0.5315,0.19899999999999998,0.2885,10
270,M,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,14
271,M,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
272,F,0.62,0.51,0.175,1.2705,0.5415,0.32299999999999995,0.3225,9
273,I,0.37,0.275,0.14,0.2215,0.09699999999999999,0.0455,0.0615,6
274,I,0.465,0.355,0.12,0.4975,0.2375,0.099,0.14,8
275,I,0.52,0.41,0.14,0.6990000000000001,0.3395,0.129,0.1945,10
276,F,0.62,0.5,0.175,1.107,0.4895,0.24,0.34299999999999997,11
277,I,0.585,0.46,0.14,0.7635,0.326,0.153,0.265,9
278,F,0.645,0.52,0.17,1.197,0.526,0.2925,0.317,11
279,I,0.46,0.345,0.12,0.4155,0.198,0.0885,0.107,7
280,I,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
281,F,0.51,0.4,0.125,0.545,0.261,0.115,0.1385,6
282,M,0.62,0.5,0.2,1.2209999999999999,0.4605,0.263,0.43,12
283,F,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,11
284,M,0.47,0.375,0.12,0.5565,0.226,0.122,0.195,12
285,F,0.645,0.515,0.15,1.212,0.515,0.2055,0.385,10
286,M,0.6,0.47,0.16,1.012,0.441,0.2015,0.305,10
287,F,0.515,0.415,0.13,0.764,0.276,0.196,0.25,13
288,F,0.58,0.45,0.195,0.8265,0.4035,0.17300000000000001,0.225,9
289,M,0.62,0.47,0.145,1.0865,0.511,0.2715,0.2565,10
290,M,0.575,0.44,0.145,0.87,0.3945,0.2195,0.225,8
291,F,0.56,0.41,0.16,0.8215,0.342,0.184,0.253,9
292,I,0.405,0.3,0.105,0.304,0.1455,0.061,0.0805,6
293,F,0.555,0.42,0.11,0.9309999999999999,0.4445,0.171,0.225,8
294,I,0.45,0.335,0.105,0.447,0.2335,0.153,0.11900000000000001,7
295,M,0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10
296,F,0.41,0.32,0.115,0.387,0.165,0.1005,0.0985,11
297,M,0.51,0.395,0.145,0.6185,0.21600000000000003,0.1385,0.24,12
298,M,0.55,0.45,0.175,1.0985,0.3765,0.215,0.4,14
299,F,0.635,0.5,0.175,1.4769999999999999,0.684,0.3005,0.39,12
300,F,0.45,0.36,0.125,0.4995,0.2035,0.1,0.17,13
301,F,0.55,0.445,0.155,0.9905,0.544,0.17800000000000002,0.218,9
302,M,0.715,0.55,0.19,2.0045,1.0465,0.40700000000000003,0.5075,12
303,I,0.53,0.415,0.145,0.9440000000000001,0.3845,0.185,0.265,21
304,I,0.45,0.355,0.105,0.4445,0.19699999999999998,0.09300000000000001,0.1335,8
305,I,0.36,0.28,0.08,0.1755,0.081,0.0505,0.07,6
306,I,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09,8
307,F,0.64,0.475,0.175,1.1545,0.4865,0.341,0.28800000000000003,9
308,M,0.36,0.295,0.13,0.2765,0.0895,0.057,0.1005,10
309,M,0.62,0.5,0.165,1.307,0.6355,0.2545,0.315,9
310,F,0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11
311,I,0.325,0.225,0.075,0.139,0.0565,0.032,0.09,6
312,F,0.54,0.415,0.175,0.8975,0.275,0.24100000000000002,0.275,14
313,F,0.595,0.45,0.165,1.081,0.49,0.2525,0.27899999999999997,12
314,I,0.27,0.2,0.07,0.1,0.034,0.0245,0.035,5
315,I,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,8
316,I,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725,12
317,M,0.35,0.265,0.09,0.19699999999999998,0.073,0.0365,0.077,7
318,M,0.445,0.37,0.125,0.515,0.2495,0.087,0.159,9
319,M,0.745,0.585,0.215,2.499,0.9265,0.47200000000000003,0.7,17
320,F,0.625,0.485,0.165,1.2255,0.5075,0.29600000000000004,0.36,10
321,M,0.62,0.46,0.17,1.127,0.535,0.2635,0.29600000000000004,7
322,M,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,9
323,F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371,8
324,M,0.51,0.41,0.155,1.2825,0.569,0.29100000000000004,0.3795,9
325,M,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15
326,I,0.31,0.235,0.09,0.127,0.048,0.031,0.04,6
327,M,0.4,0.305,0.13,0.2935,0.096,0.0675,0.105,9
328,F,0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,9
329,F,0.64,0.49,0.18,1.36,0.653,0.34700000000000003,0.305,9
330,M,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,15
331,I,0.52,0.395,0.115,0.6445,0.3155,0.1245,0.18600000000000003,11
332,F,0.46,0.425,0.155,0.746,0.3005,0.152,0.24,8
333,I,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4
334,M,0.165,0.125,0.04,0.0245,0.0095,0.0045,0.008,4
335,M,0.605,0.475,0.16,1.6159999999999999,0.5495,0.332,0.34,18
336,M,0.58,0.47,0.165,1.041,0.54,0.166,0.27899999999999997,9
337,F,0.505,0.39,0.125,0.5445,0.24600000000000002,0.15,0.1405,7
338,M,0.41,0.3,0.1,0.301,0.124,0.069,0.09,9
339,I,0.425,0.325,0.11,0.317,0.135,0.048,0.09,8
340,F,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
341,F,0.535,0.42,0.15,0.7365,0.2785,0.18600000000000003,0.215,14
342,F,0.615,0.5,0.165,1.1765,0.488,0.244,0.345,17
343,F,0.53,0.415,0.16,0.7829999999999999,0.2935,0.158,0.245,15
344,I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175,7
345,I,0.33,0.225,0.075,0.187,0.0945,0.0395,0.0425,7
346,F,0.53,0.405,0.13,0.6355,0.2635,0.1565,0.185,9
347,F,0.605,0.455,0.145,0.862,0.33399999999999996,0.1985,0.3,9
348,M,0.66,0.53,0.17,1.3905,0.5905,0.212,0.45299999999999996,15
349,M,0.535,0.42,0.165,0.9195,0.3355,0.1985,0.26,16
350,M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
351,I,0.385,0.3,0.09,0.308,0.1525,0.055999999999999994,0.0835,8
352,M,0.475,0.36,0.12,0.578,0.2825,0.12,0.17,8
353,I,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,6
354,M,0.765,0.585,0.18,2.398,1.128,0.512,0.5335,12
355,F,0.645,0.49,0.16,1.1665,0.4935,0.3155,0.299,9
356,M,0.29,0.23,0.075,0.1165,0.043,0.0255,0.04,7
357,F,0.45,0.325,0.135,0.43799999999999994,0.1805,0.1165,0.11,9
358,F,0.405,0.31,0.12,0.3095,0.138,0.057999999999999996,0.095,13
359,M,0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11
360,I,0.575,0.45,0.135,0.807,0.3615,0.17600000000000002,0.254,10
361,I,0.395,0.29,0.095,0.304,0.127,0.084,0.077,6
362,I,0.42,0.31,0.095,0.27899999999999997,0.1255,0.051,0.08800000000000001,6
363,M,0.37,0.265,0.075,0.214,0.09,0.051,0.07,6
364,F,0.51,0.39,0.135,0.6335,0.231,0.179,0.2,9
365,F,0.505,0.39,0.175,0.6920000000000001,0.267,0.15,0.215,12
366,F,0.645,0.49,0.215,1.406,0.4265,0.2285,0.51,25
367,M,0.465,0.355,0.12,0.5315,0.2725,0.09699999999999999,0.1395,8
