country,uniqueid,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,uniqueid_34,No,Rural,Yes,3,29,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_35,No,Rural,Yes,10,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_36,No,Rural,Yes,5,48,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,uniqueid_37,No,Rural,Yes,4,35,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_38,No,Rural,Yes,5,45,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_39,No,Rural,Yes,8,45,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_40,No,Rural,No,3,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_41,No,Rural,Yes,6,67,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,uniqueid_42,No,Urban,Yes,4,19,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_43,Yes,Rural,Yes,3,80,Male,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,uniqueid_44,No,Rural,Yes,2,66,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_45,No,Urban,No,1,31,Male,Head of Household,Single/Never Married,Primary education,Formally employed Private
Kenya,uniqueid_46,No,Rural,Yes,1,50,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,uniqueid_47,No,Rural,No,3,29,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_48,No,Rural,Yes,4,33,Male,Head of Household,Married/Living together,Vocational/Specialised training,Farming and Fishing
Kenya,uniqueid_49,No,Urban,Yes,4,28,Female,Child,Married/Living together,Vocational/Specialised training,Self employed
Kenya,uniqueid_50,No,Urban,Yes,3,28,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Kenya,uniqueid_51,No,Urban,Yes,3,26,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Kenya,uniqueid_52,No,Urban,Yes,2,51,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,uniqueid_53,No,Urban,No,5,16,Female,Other relative,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_54,No,Rural,Yes,2,17,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_55,Yes,Urban,Yes,1,22,Female,Head of Household,Single/Never Married,Secondary education,Self employed
Kenya,uniqueid_56,No,Rural,Yes,3,66,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_57,Yes,Rural,Yes,6,50,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,uniqueid_58,No,Urban,Yes,4,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_59,No,Rural,Yes,11,21,Male,Child,Single/Never Married,Other/Dont know/RTA,Informally employed
Kenya,uniqueid_60,No,Rural,Yes,5,30,Female,Spouse,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_61,No,Rural,Yes,8,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,uniqueid_62,No,Rural,No,1,67,Female,Head of Household,Widowed,No formal education,Informally employed
Kenya,uniqueid_63,No,Rural,Yes,3,50,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_64,Yes,Urban,Yes,1,25,Female,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,uniqueid_65,No,Rural,Yes,6,25,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_66,No,Urban,No,3,30,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_67,No,Rural,No,1,37,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,uniqueid_68,Yes,Urban,Yes,1,30,Female,Head of Household,Married/Living together,Primary education,Self employed
Kenya,uniqueid_69,No,Urban,No,5,28,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_70,Yes,Urban,Yes,1,30,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Kenya,uniqueid_71,No,Rural,Yes,2,59,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed
Kenya,uniqueid_72,No,Urban,Yes,5,29,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_73,No,Rural,No,4,31,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_74,No,Urban,Yes,3,27,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,uniqueid_75,Yes,Rural,Yes,4,55,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_76,No,Urban,Yes,4,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_77,No,Urban,No,4,17,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_78,No,Urban,No,3,21,Female,Spouse,Married/Living together,Vocational/Specialised training,Informally employed
Kenya,uniqueid_79,No,Urban,Yes,5,37,Female,Head of Household,Divorced/Seperated,Secondary education,Informally employed
Kenya,uniqueid_80,No,Rural,No,4,42,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_81,No,Rural,No,8,40,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_82,No,Rural,No,4,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_83,No,Urban,No,4,65,Female,Spouse,Married/Living together,No formal education,Informally employed
Kenya,uniqueid_84,No,Rural,Yes,7,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_85,No,Urban,Yes,3,34,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed
Kenya,uniqueid_86,No,Rural,Yes,4,46,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_87,Yes,Urban,Yes,1,54,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_88,No,Urban,Yes,4,27,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_89,No,Rural,Yes,4,21,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_90,No,Rural,No,4,64,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_91,No,Rural,Yes,3,56,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_92,No,Rural,No,6,40,Male,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Kenya,uniqueid_93,Yes,Urban,Yes,10,21,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,uniqueid_94,No,Rural,Yes,9,18,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_95,Yes,Rural,Yes,1,42,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,uniqueid_96,No,Rural,No,2,22,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_97,No,Rural,Yes,8,52,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_98,No,Urban,Yes,6,35,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_99,No,Rural,Yes,2,64,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,uniqueid_100,Yes,Urban,Yes,5,42,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_101,No,Urban,Yes,10,23,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private
Kenya,uniqueid_102,No,Rural,Yes,1,42,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
Kenya,uniqueid_103,No,Urban,Yes,2,27,Male,Head of Household,Married/Living together,Secondary education,Formally employed Government
Kenya,uniqueid_104,No,Rural,Yes,2,43,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_105,Yes,Urban,No,4,16,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_106,Yes,Urban,Yes,4,26,Male,Other relative,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_107,No,Rural,No,4,19,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_108,Yes,Rural,Yes,6,49,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,uniqueid_109,No,Urban,Yes,9,44,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,uniqueid_110,No,Urban,Yes,1,30,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,uniqueid_111,No,Rural,No,3,16,Female,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_112,No,Urban,Yes,7,50,Female,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
Kenya,uniqueid_113,No,Rural,Yes,2,30,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,uniqueid_114,No,Urban,Yes,5,49,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_115,No,Rural,No,8,72,Female,Parent,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_116,No,Rural,Yes,4,18,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_117,No,Rural,Yes,2,21,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_118,No,Rural,Yes,9,52,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_119,Yes,Rural,Yes,4,55,Male,Child,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_120,No,Rural,Yes,5,35,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_121,No,Rural,Yes,6,38,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_122,No,Rural,Yes,6,19,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_123,Yes,Urban,Yes,7,53,Female,Head of Household,Married/Living together,Tertiary education,Self employed
Kenya,uniqueid_124,No,Urban,No,2,17,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_125,No,Urban,Yes,5,29,Female,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_126,Yes,Rural,Yes,1,24,Female,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Kenya,uniqueid_127,No,Urban,Yes,7,63,Male,Spouse,Married/Living together,Vocational/Specialised training,Farming and Fishing
Kenya,uniqueid_128,No,Urban,Yes,2,47,Female,Head of Household,Married/Living together,Secondary education,Remittance Dependent
Kenya,uniqueid_129,Yes,Urban,Yes,4,42,Female,Head of Household,Married/Living together,Tertiary education,Formally employed Government
Kenya,uniqueid_130,No,Rural,No,3,17,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_131,Yes,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_132,No,Urban,Yes,7,62,Male,Head of Household,Widowed,Primary education,Informally employed
Kenya,uniqueid_133,No,Rural,Yes,2,52,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,uniqueid_134,No,Rural,Yes,3,44,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,uniqueid_135,No,Urban,Yes,6,28,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,uniqueid_136,Yes,Urban,Yes,4,30,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_137,Yes,Urban,Yes,4,39,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_138,No,Urban,Yes,4,81,Male,Head of Household,Married/Living together,No formal education,Remittance Dependent
Kenya,uniqueid_139,Yes,Rural,Yes,1,62,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_140,No,Urban,Yes,3,78,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,uniqueid_141,No,Urban,Yes,2,28,Female,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,uniqueid_142,No,Urban,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Formally employed Government
Kenya,uniqueid_143,No,Rural,Yes,5,39,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_144,No,Rural,Yes,8,42,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_145,No,Rural,No,6,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_146,No,Rural,Yes,6,50,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_147,No,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_148,Yes,Urban,Yes,6,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_149,No,Rural,Yes,5,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_150,Yes,Urban,Yes,3,26,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_151,No,Rural,No,8,36,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_152,No,Rural,Yes,4,78,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,uniqueid_153,Yes,Rural,Yes,5,36,Female,Spouse,Married/Living together,Vocational/Specialised training,Formally employed Government
Kenya,uniqueid_154,No,Urban,No,7,17,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_155,No,Urban,Yes,1,20,Male,Head of Household,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,uniqueid_156,No,Rural,Yes,1,30,Male,Head of Household,Divorced/Seperated,Secondary education,Farming and Fishing
Kenya,uniqueid_157,No,Rural,Yes,1,38,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_158,No,Rural,Yes,8,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_159,No,Rural,No,4,50,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_160,Yes,Urban,Yes,7,40,Male,Head of Household,Married/Living together,Primary education,Formally employed Private
Kenya,uniqueid_161,No,Urban,Yes,1,62,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_162,No,Rural,Yes,4,40,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_163,No,Rural,Yes,7,44,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,uniqueid_164,No,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,uniqueid_165,No,Rural,Yes,5,59,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_166,Yes,Urban,Yes,6,36,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_167,No,Rural,Yes,7,60,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_168,Yes,Rural,Yes,3,42,Male,Head of Household,Married/Living together,No formal education,Formally employed Private
Kenya,uniqueid_169,No,Rural,Yes,2,56,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,uniqueid_170,No,Urban,No,4,37,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_171,No,Rural,Yes,4,28,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,uniqueid_172,No,Rural,No,9,50,Female,Child,Single/Never Married,Primary education,Farming and Fishing
Kenya,uniqueid_173,No,Urban,Yes,2,55,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,uniqueid_174,No,Rural,Yes,7,65,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,uniqueid_175,No,Rural,Yes,5,48,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_176,No,Urban,Yes,2,65,Female,Head of Household,Widowed,Primary education,Remittance Dependent
Kenya,uniqueid_177,No,Rural,Yes,7,55,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,uniqueid_178,No,Rural,Yes,5,31,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_179,No,Rural,No,2,55,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Kenya,uniqueid_180,No,Urban,Yes,6,44,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_181,No,Rural,Yes,3,72,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_182,No,Urban,No,3,18,Female,Child,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_183,No,Rural,Yes,4,26,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_184,No,Rural,Yes,1,53,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,uniqueid_185,No,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_186,No,Urban,Yes,8,34,Female,Head of Household,Married/Living together,Tertiary education,Informally employed
Kenya,uniqueid_187,No,Rural,Yes,4,55,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_188,No,Urban,Yes,2,48,Male,Head of Household,Married/Living together,Vocational/Specialised training,Informally employed
Kenya,uniqueid_189,No,Rural,Yes,2,50,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_190,Yes,Rural,Yes,7,65,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
Kenya,uniqueid_191,Yes,Urban,Yes,3,53,Female,Head of Household,Widowed,Secondary education,Farming and Fishing
Kenya,uniqueid_192,No,Rural,Yes,5,45,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_193,No,Urban,Yes,2,29,Female,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,uniqueid_194,Yes,Urban,Yes,3,36,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private
Kenya,uniqueid_195,No,Rural,No,9,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_196,No,Rural,No,5,18,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_197,Yes,Urban,Yes,7,33,Female,Head of Household,Married/Living together,Primary education,Self employed
Kenya,uniqueid_198,No,Urban,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Kenya,uniqueid_199,Yes,Urban,Yes,2,30,Female,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Government
Kenya,uniqueid_200,Yes,Urban,Yes,5,48,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_201,Yes,Rural,Yes,2,80,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Kenya,uniqueid_202,No,Urban,Yes,6,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,uniqueid_203,No,Rural,Yes,5,69,Female,Head of Household,Married/Living together,No formal education,Self employed
Kenya,uniqueid_204,No,Urban,Yes,3,23,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_205,No,Rural,Yes,2,67,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,uniqueid_206,No,Rural,Yes,2,58,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_207,No,Rural,Yes,6,27,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
Kenya,uniqueid_208,Yes,Rural,Yes,1,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,uniqueid_209,No,Rural,No,5,80,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,uniqueid_210,No,Rural,No,3,95,Female,Parent,Widowed,No formal education,Informally employed
Kenya,uniqueid_211,No,Rural,Yes,4,26,Female,Other relative,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_212,No,Urban,Yes,3,38,Female,Spouse,Married/Living together,Vocational/Specialised training,Remittance Dependent
Kenya,uniqueid_213,No,Urban,Yes,1,64,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_214,No,Urban,Yes,6,16,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_215,No,Urban,No,4,49,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_216,No,Rural,No,5,33,Female,Head of Household,Widowed,No formal education,Self employed
Kenya,uniqueid_217,No,Urban,Yes,4,35,Female,Head of Household,Divorced/Seperated,Secondary education,Self employed
Kenya,uniqueid_218,Yes,Urban,Yes,1,28,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Kenya,uniqueid_219,No,Urban,Yes,4,38,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Kenya,uniqueid_220,No,Rural,Yes,3,29,Male,Head of Household,Married/Living together,No formal education,Self employed
Kenya,uniqueid_221,No,Rural,Yes,5,26,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_222,No,Rural,No,1,17,Male,Head of Household,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_223,No,Rural,Yes,4,36,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_224,Yes,Urban,Yes,3,28,Female,Spouse,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_225,No,Urban,No,5,22,Female,Parent,Single/Never Married,Secondary education,Dont Know/Refuse to answer
Kenya,uniqueid_226,No,Urban,Yes,1,65,Female,Head of Household,Single/Never Married,Primary education,Remittance Dependent
Kenya,uniqueid_227,No,Urban,No,1,54,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Kenya,uniqueid_228,Yes,Rural,Yes,4,66,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,uniqueid_229,No,Urban,Yes,3,54,Female,Spouse,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_230,No,Rural,No,3,70,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,uniqueid_231,No,Rural,Yes,5,44,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Kenya,uniqueid_232,No,Urban,Yes,7,22,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,uniqueid_233,Yes,Rural,Yes,3,53,Male,Head of Household,Married/Living together,Tertiary education,Farming and Fishing
Kenya,uniqueid_234,No,Rural,Yes,7,28,Male,Child,Married/Living together,Primary education,Informally employed
Kenya,uniqueid_235,No,Rural,Yes,8,42,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_236,No,Rural,Yes,5,24,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_237,Yes,Urban,Yes,3,40,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private
Kenya,uniqueid_238,No,Rural,Yes,4,33,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,uniqueid_239,No,Rural,Yes,2,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,uniqueid_240,No,Rural,Yes,2,40,Female,Other relative,Divorced/Seperated,Primary education,Formally employed Private
Kenya,uniqueid_241,No,Rural,No,3,17,Female,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_242,No,Rural,Yes,7,30,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Kenya,uniqueid_243,No,Urban,No,2,16,Male,Other relative,Single/Never Married,Secondary education,Remittance Dependent
Kenya,uniqueid_244,No,Rural,No,4,19,Male,Child,Single/Never Married,No formal education,Farming and Fishing
Kenya,uniqueid_245,Yes,Rural,Yes,1,54,Female,Head of Household,Widowed,Secondary education,Self employed
Kenya,uniqueid_246,Yes,Rural,Yes,1,33,Male,Head of Household,Single/Never Married,Tertiary education,Farming and Fishing
Kenya,uniqueid_247,No,Urban,Yes,3,29,Female,Spouse,Married/Living together,Secondary education,Remittance Dependent
Kenya,uniqueid_248,No,Rural,No,6,71,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
